course_code,course_title,units,section_number,class_number,type,days,start_time,end_time,building,room,instructor,comment
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,01,6554,SEM,TuTh,8,9:15AM,HC,100,Ebert T,Class instruction is: Face to Face - On Campus.
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,02,6555,SEM,TuTh,5:30,6:45PM,VEC,418,Nguyen M,Class instruction is: Face to Face - On Campus.
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,03,7466,SEM,MW,12:30,1:45PM,ECS,308,Jurgensen C,Class instruction is: Face to Face - On Campus.
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,04,8579,SEM,MW,9:30,10:45AM,ECS,412,Jurgensen C,Class instruction is: Face to Face - On Campus.
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,05,9936,SEM,MW,11,12:15PM,ECS,416,Qin X,Class instruction is: Face to Face - On Campus.
CECS 329,CONCEPTS COMPUTER SCI THEORY,3 Units,06,10341,SEM,F,8,10:45AM,ECS,416,Ebert T,Class instruction is: Face to Face - On Campus.
CECS 341,COMPUTER ARCHITECT ORGANIZATIN,3 Units,01,3782,SEM,F,1,3:45PM,ECS,105,Sayadi H,Class instruction is: Face to Face - On Campus.
CECS 341,COMPUTER ARCHITECT ORGANIZATIN,3 Units,04,11824,SEM,MW,2,3:15PM,MM,100,Ghaforyfard P,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,01,6556,SEM,TuTh,12:30,1:45PM,ECS,302,Jurgensen C,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,02,6557,SEM,MW,2,3:15PM,ECS,411,Jurgensen C,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,03,6558,SEM,F,1,3:45PM,ECS,412,Terrell N,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,04,6559,SEM,MW,6,7:15PM,ECS,411,Nguyen P,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,05,6560,SEM,TuTh,9:30,10:45AM,ECS,302,Jurgensen C,Class instruction is: Face to Face - On Campus.
CECS 342,PRINCPLE PROGRAMMING LANGUAGE,3 Units,06,10159,SEM,MW,9:30,10:45AM,ECS,405,Cleary S,Class instruction is: Face to Face - On Campus.
CECS 343,INTRO TO SOFTWARE ENGINEERING,3 Units,01,2827,SEM,MW,5,6:15PM,HC,100,Murgolo F,Class instruction is: Face to Face - On Campus.
CECS 343,INTRO TO SOFTWARE ENGINEERING,3 Units,02,8582,SEM,TuTh,5,6:15PM,VEC,518,Link D,Class instruction is: Face to Face - On Campus.
CECS 343,INTRO TO SOFTWARE ENGINEERING,3 Units,03,10168,SEM,TuTh,12:30,1:45PM,ECS,404,Basit A,Class instruction is: Face to Face - On Campus.
CECS 346,EMBEDDED SYSTEMS I,3 Units,03,9747,SEM,F,10,11:50AM,ECS,414,He M,Class instruction is: Face to Face - On Campus.Class offered with CECS-346H-03
CECS 346,EMBEDDED SYSTEMS I,3 Units,04,9748,LAB,F,12,2:45PM,ECS,414,He M,Class instruction is: Face to Face - On Campus.Class offered with CECS-346H-04
CECS 346H,EMBEDDED SYSTEMS I,3 Units,03,9749,SEM,F,10,11:50AM,ECS,414,He M,Class instruction is: Face to Face - On Campus.Class offered with CECS-346-03
CECS 346H,EMBEDDED SYSTEMS I,3 Units,04,9750,LAB,F,12,2:45PM,ECS,414,He M,Class instruction is: Face to Face - On Campus.Class offered with CECS-346-04
CECS 347,EMBEDDED SYSTEMS II,3 Units,01,5264,SEM,MW,10,10:50AM,ECS,414,He M,Class instruction is: Face to Face - On Campus.
CECS 347,EMBEDDED SYSTEMS II,3 Units,02,5265,LAB,MW,11,12:15PM,ECS,414,He M,Class instruction is: Face to Face - On Campus.
CECS 361,DIGITAL DESIGN TECH VERIFICATN,3 Units,03,7327,SEM,TuTh,11,11:50AM,ECS,412,Rezaei A,Class instruction is: Face to Face - On Campus.
CECS 361,DIGITAL DESIGN TECH VERIFICATN,3 Units,04,7328,LAB,TuTh,12,1:15PM,ECS,412,Rezaei A,Class instruction is: Face to Face - On Campus.
CECS 378,INTRO TO COMPUTER SECURITY PRI,3 Units,01,5109,SEM,TuTh,11,12:15PM,VEC,518,Giacalone A,Class instruction is: Face to Face - On Campus.
CECS 378,INTRO TO COMPUTER SECURITY PRI,3 Units,02,5465,SEM,TuTh,5,6:15PM,ECS,404,Uuh L,Class instruction is: Face to Face - On Campus.
CECS 378,INTRO TO COMPUTER SECURITY PRI,3 Units,03,6312,SEM,MW,5:30,6:45PM,VEC,518,Uuh L,Class instruction is: Face to Face - On Campus.
CECS 378,INTRO TO COMPUTER SECURITY PRI,3 Units,04,8593,SEM,F,9,11:45AM,ECS,404,Addington S,Class instruction is: Face to Face - On Campus.
CECS 381,STOCHASTIC COMPUTING,3 Units,02,11714,SEM,MW,12:30,1:45PM,ECS,404,Asgari S,Class instruction is: Face to Face - On Campus.
CECS 427,DYNAMIC NETWORKS,3 Units,02,8580,SEM,TuTh,3:30,4:45PM,VEC,518,Morales Ponce O,Class instruction is: Face to Face - On Campus.
CECS 428,ANALYSIS OF ALGORITHMS,3 Units,02,9935,SEM,MW,9:30,10:45AM,ECS,416,Goldstein D,Class instruction is: Face to Face - On Campus.
CECS 429,SEARCH ENGINE TECHNOLOGY,3 Units,01,10118,SEM,TuTh,3:30,4:45PM,ECS,403,Qin X,Class instruction is: Face to Face - On Campus.
CECS 440,COMPUTER ARCHITECTURE,3 Units,01,3196,SEM,TuTh,8,8:50AM,ECS,416,Trajkovic J,Class instruction is: Face to Face - On Campus.Class offered with CECS-440H-01
CECS 440,COMPUTER ARCHITECTURE,3 Units,02,3197,LAB,TuTh,9,10:15AM,ECS,413,Trajkovic J,Class instruction is: Face to Face - On Campus.Class offered with CECS-440H-02
CECS 440H,COMPUTER ARCHITECTURE,3 Units,01,4843,SEM,TuTh,8,8:50AM,ECS,416,Trajkovic J,Class instruction is: Face to Face - On Campus.Class offered with CECS-440-01
CECS 440H,COMPUTER ARCHITECTURE,3 Units,02,4844,LAB,TuTh,9,10:15AM,ECS,413,Trajkovic J,Class instruction is: Face to Face - On Campus.Class offered with CECS-440-02
CECS 443,SOFTWARE PROJ MGMT AND TESTING,3 Units,01,6567,SEM,TuTh,6:30,7:45PM,ECS,308,Link D,Class instruction is: Face to Face - On Campus.
CECS 447,EMBEDDED SYSTEMS III,3 Units,03,7411,SEM,MW,2,2:50PM,ECS,414,He M,Class instruction is: Face to Face - On Campus.
CECS 447,EMBEDDED SYSTEMS III,3 Units,04,7412,LAB,MW,3,4:15PM,ECS,414,He M,Class instruction is: Face to Face - On Campus.
CECS 448,USER INTERFACE DESIGN,3 Units,01,4971,SEM,TuTh,11,12:15PM,ECS,302,Fu B,Class instruction is: Face to Face - On Campus.
CECS 448,USER INTERFACE DESIGN,3 Units,02,11337,SEM,TuTh,12:30,1:45PM,ECS,407,Fahim A,Class instruction is: Face to Face - On Campus.
CECS 449,COMPUTER GRAPHICS,3 Units,01,10162,SEM,MW,12:30,1:45PM,ECS,411,Terrell N,Class instruction is: Face to Face - On Campus.
CECS 450,DATA VISUALIZATION,3 Units,01,11182,SEM,TuTh,9:30,10:45AM,ECS,407,Fu B,Class instruction is: Face to Face - On Campus.
CECS 450,DATA VISUALIZATION,3 Units,02,11358,SEM,MW,3:30,4:45PM,PSY,150,Yaghmaei E,Class instruction is: Face to Face - On Campus.
CECS 451,ARTIFICIAL INTELLIGENCE,3 Units,01,9933,SEM,F,9,11:45AM,ECS,407,Ghasemkhani A,Class instruction is: Face to Face - On Campus.
CECS 451,ARTIFICIAL INTELLIGENCE,3 Units,02,8130,SEM,TuTh,9:30,10:45AM,ECS,308,Moon J,Class instruction is: Face to Face - On Campus.
CECS 453,MOBILE APPLICATION DEVELOPMENT,3 Units,01,6568,SEM,MW,8,9:15AM,ECS,405,Nguyen P,Class instruction is: Face to Face - On Campus.
CECS 455,INTRO TO GAME PROGRAMMING,3 Units,01,8444,SEM,MW,11,12:15PM,VEC,330,Goldstein D,Class instruction is: Face to Face - On Campus.
CECS 456,MACHINE LEARNING,3 Units,01,7468,SEM,MW,12:30,1:45PM,VEC,518,Zhang W,Class instruction is: Face to Face - On Campus.
CECS 456,MACHINE LEARNING,3 Units,02,11179,SEM,F,10,12:45PM,VEC,518,Sarshar A,Class instruction is: Face to Face - On Campus.
CECS 460,SYSTEM ON CHIP DESIGN,3 Units,01,10120,SEM,MW,6,6:50PM,ECS,416,Cregg D,Class instruction is: Face to Face - On Campus.Class offered with CECS-460H-01
CECS 460,SYSTEM ON CHIP DESIGN,3 Units,02,10121,LAB,MW,7,8:15PM,ECS,416,Cregg D,Class instruction is: Face to Face - On Campus.Class offered with CECS-460H-02
CECS 460H,SYSTEM ON CHIP DESIGN,3 Units,01,11345,SEM,MW,6,6:50PM,ECS,416,Cregg D,Class instruction is: Face to Face - On Campus.Class offered with CECS-460-01
CECS 460H,SYSTEM ON CHIP DESIGN,3 Units,02,11346,LAB,MW,7,8:15PM,ECS,416,Cregg D,Class instruction is: Face to Face - On Campus.Class offered with CECS-460-02
CECS 463,DIGITAL SIGNAL PROCESS DESIGN,3 Units,01,11783,SEM,MW,11,11:50AM,ECS,412,Fahim A,Class instruction is: Face to Face - On Campus.
CECS 463,DIGITAL SIGNAL PROCESS DESIGN,3 Units,02,11784,LAB,MW,12,1:15PM,ECS,412,Fahim A,Class instruction is: Face to Face - On Campus.
CECS 470,WEB PROGRAMING & ACCESSIBILITY,3 Units,01,9931,SEM,MW,3:30,4:45PM,ECS,407,Nguyen P,Class instruction is: Face to Face - On Campus.
CECS 475,SOFTWARE DVLPMNT WITH FRAMWRKS,3 Units,01,3843,SEM,MW,11,12:15PM,VEC,518,Nguyen P,Class instruction is: Face to Face - On Campus.
CECS 475,SOFTWARE DVLPMNT WITH FRAMWRKS,3 Units,02,10158,SEM,TuTh,9:30,10:45AM,ECS,404,Terrell N,Class instruction is: Face to Face - On Campus.
CECS 478,DATA SECURITY & PRIVACY,3 Units,01,4512,SEM,MW,11,12:15PM,ECS,308,Giacalone A,Class instruction is: Face to Face - On Campus.
CECS 478,DATA SECURITY & PRIVACY,3 Units,02,7410,SEM,TuTh,12:30,1:45PM,HC,120,Giacalone A,Class instruction is: Face to Face - On Campus.
CECS 490A,COMP ENGR SNR PRJCT I,3 Units,01,4845,SEM,MW,8:30,9:45PM,ECS,412,Cregg D,Class instruction is: Face to Face - On Campus.
CECS 490B,COMPUTER ENGR SNR PROJECT II,3 Units,01,4498,SEM,MW,12:30,1:45PM,ECS,405,Hernandez E,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,01,4526,SEM,TuTh,11,12:15PM,ECS,407,Hoffman F,Class instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,02,4575,SEM,TuTh,2,3:15PM,VEC,330,Hoffman F,Class instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,03,5061,SEM,TuTh,5,6:15PM,ECS,308,Hoffman F,Class instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,04,7379,SEM,TuTh,3:30,4:45PM,ECS,302,Hoffman F,Class instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,05,9934,SEM,MW,9:30,10:45AM,ECS,308,Albinali F,Class instruction is: Face to Face - On Campus.
CECS 491A,COMPUTER SCI SENIOR PROJECT I,3 Units,06,10050,SEM,MW,12:30,1:45PM,ECS,407,Albinali F,Class instruction is: Face to Face - On Campus.
CECS 491B,COMPUTER SCI SENIOR PROJECT II,3 Units,01,5753,SEM,MW,2,3:15PM,ECS,308,Murgolo F,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 491B,COMPUTER SCI SENIOR PROJECT II,3 Units,02,7097,SEM,TuTh,12:30,1:45PM,ECS,403,Hoffman F,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 491B,COMPUTER SCI SENIOR PROJECT II,3 Units,03,8023,SEM,MW,11,12:15PM,VEC,331,Albinali F,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 491B,COMPUTER SCI SENIOR PROJECT II,3 Units,04,9380,SEM,TuTh,6:30,7:45PM,ECS,404,Shahnawaz I,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 491B,COMPUTER SCI SENIOR PROJECT II,3 Units,05,11291,SEM,MW,2,3:15PM,ECS,413,Albinali F,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 497,DIRECTED STUDIES,1-3 Units,01,1134,SUP,TBA,NA,,NA,,Rezaei A,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 497,DIRECTED STUDIES,1-3 Units,18,3205,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 497,DIRECTED STUDIES,1-3 Units,19,6459,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 497,DIRECTED STUDIES,1-3 Units,20,7449,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 497,DIRECTED STUDIES,1-3 Units,21,7585,SUP,TBA,NA,,NA,,Staff,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 524,ADV TOPICS IN PROGRAMMING LANG,3 Units,02,6260,SEM,F,12,2:45PM,HC,120,Hoffman M,Class instruction is: Hybrid (Face to Face & Synch).
CECS 524,ADV TOPICS IN PROGRAMMING LANG,3 Units,02,,,F,12,2:45PM,ONLINE-ONLY,,Staff,additional meeting detail
CECS 528,ADV ANALYSIS OF ALGORITHMS,3 Units,01,3912,SEM,MW,8,9:15AM,LA2,200,Ebert T,Class instruction is: Face to Face - On Campus.
CECS 529,SEARCH ENGINE TECHNOLOGY,3 Units,01,10119,SEM,TuTh,3:30,4:45PM,ECS,403,Qin X,Class instruction is: Face to Face - On Campus.
CECS 530,ADV COMPUTER ARCHITECTURE I,3 Units,01,7428,SEM,Sa,11,1:45PM,VEC,518,Yaghini P,Class instruction is: Face to Face - On Campus.
CECS 532,MEMORY DESIGN IMPLEMENTATION,3 Units,01,6244,SEM,F,9,11:45AM,ECS,302,Wu X,Class instruction is: Hybrid (Face to Face & Synch).
CECS 532,MEMORY DESIGN IMPLEMENTATION,3 Units,01,,,F,9,11:45AM,ONLINE-ONLY,,Staff,additional meeting detail
CECS 543,ADVANCED SOFTWARE ENGINEERING,3 Units,02,6364,SEM,TuTh,9:30,10:45AM,HC,120,Basit A,Class instruction is: Face to Face - On Campus.
CECS 546,FAULT TOLERANT COMPUTING SYSTS,3 Units,02,11766,SEM,F,1,3:45PM,ECS,404,Wu X,Department Consent RequiredClass instruction is: Hybrid (Face to Face & Synch).
CECS 546,FAULT TOLERANT COMPUTING SYSTS,3 Units,02,,,F,1,3:45PM,ONLINE-ONLY,,Staff,additional meeting detail
CECS 547,SOFTWARE MAINT REENGIN & REUSE,3 Units,01,7465,SEM,TuTh,2,3:15PM,ECS,414,Basit A,Class instruction is: Face to Face - On Campus.
CECS 550,PATTERN RECOGNITION,3 Units,01,7409,SEM,MW,6:30,7:45PM,ECS,105,Ghazarian A,Class instruction is: Face to Face - On Campus.
CECS 551,ADV ARTIFICIAL INTELLIGENCE,3 Units,01,7067,SEM,TuTh,12:30,1:45PM,ECS,411,Moon J,Class instruction is: Hybrid (Face to Face & Synch).
CECS 551,ADV ARTIFICIAL INTELLIGENCE,3 Units,01,,,TuTh,12:30,1:45PM,ONLINE-ONLY,,Staff,additional meeting detail
CECS 552,COMPUTER SIMULATION & MODELING,3 Units,01,7442,SEM,Sa,4,6:45PM,ECS,407,Mehrnia A,Class instruction is: Face to Face - On Campus.
